Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,CXF-3784,12521020,incorrect OSGi metadata header for the jbi tansport and binding,ffang,ffang,Major,Closed,Fixed,01/Sep/11 07:56,19/Oct/11 17:30,
Bug,CXF-3778,12520718,"cxf-wadl2java-plugin (maven) does not generate an implementing service-class, neither with <impl>true</impl> nor with <extraarg>-impl</extraarg>",,ojelinski,Major,Closed,Cannot Reproduce,30/Aug/11 10:50,11/Oct/11 21:38,
Improvement,CXF-3676,12514915,Add @threadSafe to all maven-plugins for parallel build feature of Maven3,dkulp,famod,Major,Closed,Fixed,21/Jul/11 14:37,19/Aug/11 03:30,
Bug,CXF-3466,12504831,HTTP client sends empty messages when FINE log level is enabled,chris@die-schneider.net,asoldano,Major,Closed,Fixed,20/04/2011 23:07,08/Aug/11 14:43,
Bug,CXF-3554,12508626,Setting log4j level to org.apache.cxf makes the message failed to sent,chris@die-schneider.net,yguerro,Major,Closed,Fixed,28/May/11 17:12,09/Jun/11 00:20,
Bug,CXF-2796,12463490,maven build fails once after clean but then succeeds,,bedge,Major,Closed,Not A Problem,01/May/10 15:56,18/04/2011 12:47,
Bug,CXF-3275,12496417,"""Building Apache CXF Bundle Jar 2.3.2"" - build issues / distribution failure",,gliesian,Major,Closed,Cannot Reproduce,23/Jan/11 04:29,18/04/2011 12:47,
Bug,CXF-3287,12496672,cxf-codegen-plugin reports Non-unique body parts! exception,dkulp,smcelroy,Major,Closed,Not A Problem,25/Jan/11 13:17,18/04/2011 12:42,
Improvement,CXF-3177,12492781,Update to latest JAXB version 2.2.2 from 2.2.1,njiang,garydgregory,Major,Closed,Duplicate,09/Dec/10 00:29,18/04/2011 12:42,
Bug,CXF-3397,12501318,ServiceConstructionException: Could not resolve a binding for http://schemas.xmlsoap.org/wsdl/soap/,njiang,aruld,Major,Closed,Fixed,14/03/2011 05:26,18/04/2011 12:42,
Bug,CXF-1750,12402452,CXF 2.1.1 And WebLogic 10,,sripathiacharya,Major,Closed,Fixed,15/Aug/08 13:06,13/04/2011 00:41,
Bug,CXF-1880,12406825,org.apache.cxf.xjc.ts.ToStringPlugin cannot be used with a 1.6 JVM,dkulp,prophet36,Major,Closed,Fixed,20/Oct/08 13:57,02/02/2011 05:05,
Bug,CXF-3110,12479080,jaxrs: ParameterizedTypeImpl cannot be cast to java.lang.Class,sergey_beryozkin,chomats,Major,Closed,Fixed,04/11/2010 11:15,06/Dec/10 22:49,
Bug,CXF-2614,12445253,cxf-common-xsd plugin generated files differ from xjc generated ones,,ctataryn,Major,Closed,Not A Problem,12/Jan/10 03:29,11/Oct/10 14:48,
Bug,CXF-3006,12475011,Upgrade to Xml Schema 1.4.6,bmargulies,sebge2,Major,Closed,Fixed,24/Sep/10 07:46,11/Oct/10 14:46,
Bug,CXF-2989,12473850,"cxf-java2ws-plugin - While running the maven plugin, the wrapper beans that are generated complain when dependencies are in another jar.",,jaybytez,Major,Closed,Fixed,10/Sep/10 19:53,11/Oct/10 14:46,
New Feature,CXF-2275,12427541,Maven plugins: Support reading WSDLs from Maven repository,chris@die-schneider.net,trygvis,Major,Closed,Fixed,10/Jun/09 10:56,11/Oct/10 14:44,
Bug,CXF-2946,12471760,Unexpected namespace behavior in wsdl2java,,bmargulies,Major,Closed,Incomplete,16/Aug/10 23:07,05/Oct/10 22:42,
Bug,CXF-1489,12392250,cxf-java2ws-plugin generates sources into ${basedir},,bond,Major,Closed,Fixed,25/03/2008 12:19,17/04/2010 11:02,
Bug,CXF-1642,12397914,CXF Bundle is missing an Import-Package for woodstox,dkulp,sauthieg,Major,Closed,Fixed,10/Jun/08 14:09,30/03/2010 21:57,
Bug,CXF-2676,12456363,JMX InstanceAlreadyExistsException under high load initialization,cleclerc,cleclerc,Major,Closed,Fixed,15/02/2010 21:27,23/03/2010 02:59,
Bug,CXF-2386,12432675,abdera-extensions-main and abdera-i18n are required by cxf-bundle-minimal but not present in any repository,dkulp,deki,Major,Closed,Fixed,10/Aug/09 11:20,01/02/2010 19:02,
Bug,CXF-2091,12416313,CXF Bundle is hardly usable under OSGi,dkulp,ceefour,Major,Closed,Fixed,06/03/2009 16:42,01/02/2010 19:02,
Bug,CXF-2423,12434997,XSD generator fails to create @XmlRootElement,,jongry,Major,Closed,Invalid,07/Sep/09 12:05,04/Dec/09 22:35,
New Feature,CXF-2446,12436505,generate java.util.List collections for XMLElementWrappers,,warrenc9,Major,Closed,Won't Fix,24/Sep/09 11:16,04/Dec/09 22:35,
Bug,CXF-2192,12423897,missing dependency on codegen plugin,,ndeloof,Major,Closed,Cannot Reproduce,27/04/2009 15:03,04/Dec/09 22:35,
Bug,CXF-1175,12381845,cxf-codegen-plugin problem while running over aggregated pom directory,,wojtek,Major,Closed,Incomplete,05/11/2007 15:09,04/Dec/09 22:35,
Bug,CXF-1133,12381020,org.apache.cxf.binding.soap.SoapFault: Error reading XMLStreamReader Caused by: com.ctc.wstx.exc.WstxEOFException: Unexpected EOF in prolog,,gotosleep,Major,Closed,Cannot Reproduce,23/Oct/07 23:41,06/Oct/09 18:33,
Bug,CXF-2338,12430204,Service created from WSDL doesn't deserialize correctly,,bushwakko,Major,Closed,Invalid,13/Jul/09 13:12,04/Aug/09 11:54,
Bug,CXF-1312,12384864,After running mvn archetype:create -DarchetypeGroupId=org.apache.cxf -DarchetypeArtifactId=cxf-http-basic -Dgroupid are ignored rendering packagenames wrong in java files,,nino,Major,Closed,Fixed,18/Dec/07 12:57,30/Jul/09 18:01,
Bug,CXF-2235,12426104,WSDL2JAVA fail to create the good java method  - missing one argument,dkulp,radamanth,Major,Closed,Fixed,22/May/09 11:29,05/Jun/09 09:25,
Bug,CXF-2092,12416336,"CXF 2.2-SNAPSHOT exports ""svn packages""",dkulp,ceefour,Major,Closed,Fixed,06/03/2009 21:44,04/Jun/09 21:34,
Bug,CXF-1830,12405355,Missing dependency when building dOSGi,,bosschaert,Major,Closed,Fixed,29/Sep/08 09:40,24/04/2009 21:16,
Bug,CXF-1792,12404140,JMX ONs for performance counters should not use qnames for port and operation,dkulp,hadrian,Major,Closed,Fixed,11/Sep/08 02:19,23/Jan/09 17:53,
Bug,CXF-1499,12392982,Maven dependencies incorrectly set for cxf-rt-frontend-jaxws,,night.kame,Major,Closed,Invalid,02/04/2008 21:46,23/Jan/09 17:14,
Bug,CXF-1726,12401207,Upgrade from CXF 2.1 to CXF 2.1.1 results in two BouncyCastle JARs being used,dkulp,gmazza,Major,Closed,Fixed,29/Jul/08 00:59,18/Aug/08 18:26,
Bug,CXF-1707,12400559,Security Exception when using java2ws via the cxf-java2ws-plugin in Netbeans,dkulp,gumnaam.suri,Major,Closed,Fixed,18/Jul/08 14:27,18/Aug/08 18:26,
Bug,CXF-1659,12398592,Eclipse plugin has ${cxf.version} in directory name,dkulp,janstey,Major,Closed,Fixed,19/Jun/08 14:35,28/Jul/08 14:09,
Bug,CXF-1594,12396319,cxf-codegen-plugin : Warning Exception during generation,,jc.meillaud,Major,Closed,Won't Fix,19/May/08 14:41,03/Jul/08 17:22,
Bug,CXF-1593,12396318,cxf-codegen-plugin : wsdl2java does not take packagename argument into account,dkulp,jc.meillaud,Major,Closed,Fixed,19/May/08 14:33,03/Jul/08 17:19,
Bug,CXF-1672,12399121,CXF codegen plugin creating classes with references to defunct JAXB AccessorOrder class,,theschles,Major,Closed,Invalid,26/Jun/08 21:36,01/Jul/08 19:27,
Bug,CXF-1493,12392443,Cannot  build 2.0.4 JBI Integration ,dkulp,tdiesler,Major,Closed,Fixed,27/03/2008 13:49,30/04/2008 14:54,
Bug,CXF-919,12376278,cxf-codgen-plugin needs to depend on cxf-rt-bindings-soap,,jrw@pobox.com,Major,Closed,Fixed,17/Aug/07 21:45,05/Dec/07 19:23,
Bug,CXF-1212,12382583,wsdl2java mojo dependency clash with testDependencies - no workaround available - new config option needed,maomaode,gtully,Major,Closed,Fixed,15/11/2007 14:20,03/Dec/07 23:03,
Bug,CXF-912,12376115,java2wsdl goal of the codegen plugin turns off all maven output if the 'quiet' tag is set...,maomaode,jbrosenberg,Major,Closed,Fixed,16/Aug/07 03:25,05/Oct/07 16:46,
Bug,CXF-751,12372578,Java->WSDL doen't generate correct fault element,,ema,Major,Closed,Fixed,28/Jun/07 10:07,29/Aug/07 18:10,
New Feature,CXF-635,12368689,Maven 2 Plugin for Java2WSDL,maomaode,cmoesel,Major,Closed,Fixed,04/May/07 20:38,29/Aug/07 18:10,
New Feature,CXF-665,12369859,Maven archetype for CXF project,,tomeks,Major,Closed,Fixed,21/May/07 17:09,29/Aug/07 18:09,
Bug,CXF-611,12368237,Java2Wsdl support generate wrapper beans in different package,maomaode,maomaode,Major,Closed,Fixed,28/04/2007 03:43,29/Aug/07 02:05,
Bug,CXF-621,12368421,"org.apache.cxf.bus.spring.BusApplicationContext constructor does not respect ""include defaults"" flag
",njiang,seh,Major,Closed,Fixed,01/May/07 22:09,29/Aug/07 02:03,
Improvement,CXF-187,12354121,Provide Eclipse plugin from CXF to faciliate STP Integration,maomaode,askehill,Major,Closed,Fixed,27/Oct/06 10:06,01/11/2006 16:08,
Bug,CXF-7785,13170852,org.springframework.beans.factory.NoSuchBeanDefinitionException: No bean named 'cxf' available,,NitinBhardwaj,Minor,Resolved,Not A Problem,09/Jul/18 12:49,13/Sep/18 11:49,
Bug,CXF-7615,13131752,cxf-xjc-plugin,,mgainty@hotmail.com,Minor,Resolved,Incomplete,18/Jan/18 01:32,10/Sep/18 10:20,
Bug,CXF-7708,13152312,Options mark-generated and suppress-generated-date don't effect on generating Java classes,deki,dmvolod,Minor,Resolved,Fixed,13/04/2018 15:07,14/Aug/18 10:19,
Improvement,CXF-7674,13144275,Java2Wadl maven plugin requires explicit <classResourceNames> element - even if base packages specified,ffang,lgoldstein,Minor,Closed,Fixed,12/03/2018 11:55,17/04/2018 00:56,
Bug,CXF-7465,13092158,Auto-closeable resource FooWService.FooWSProxy has a member method close() that could throw InterruptedException,,jhack,Minor,Open,,03/Aug/17 10:55,03/Aug/17 18:26,
Improvement,CXF-7265,13048022,Symmetric INFO logging for registering and unregistering MBeans,sergey_beryozkin,tadayosi,Minor,Closed,Fixed,03/03/2017 12:26,10/04/2017 19:04,
Bug,CXF-6734,12927976,javax.management.InstanceNotFoundException on Spring shutdown: Unregistering ManagedEndpoint failed,,bwaldvogel,Minor,Open,,06/Jan/16 09:59,06/Jan/16 10:00,
Bug,CXF-5955,12734423,Wrong JAXB version used in JDK 1.7 with Maven 3.2.x,,jklap,Minor,Closed,Cannot Reproduce,15/Aug/14 14:47,16/02/2015 16:31,
Bug,CXF-5985,12738908,wadl2java maven plugin: executions don't use plugin-level configuration,sergey_beryozkin,mparker,Minor,Closed,Fixed,03/Sep/14 20:32,16/02/2015 16:09,
Bug,CXF-5978,12737756,Incomplete dependencies in archetype cxf-jaxrs-service,sergey_beryozkin,root_42,Minor,Closed,Fixed,29/Aug/14 09:35,16/02/2015 16:09,
Bug,CXF-6090,12753587,java.lang.NullPointerException when running wsdl2java,dkulp,ashi.khurana@gmail.com,Minor,Closed,Fixed,07/11/2014 01:39,16/02/2015 16:09,
Bug,CXF-6146,12760485,Demo wsdl_first_xmlbeans fails to build,dkulp,gpache,Minor,Closed,Fixed,09/Dec/14 17:27,16/02/2015 16:09,
Bug,CXF-4802,12630595,JAXRSServerFactoryBean server does not terminate,sergey_beryozkin,amacbeth,Minor,Closed,Not A Problem,03/02/2013 23:04,11/Jul/14 12:54,
Bug,CXF-5267,12667929,WebClient using POST with chunking enabled (the default) can't read 401 error response stream,,jpangburn,Minor,Closed,Not A Problem,10/Sep/13 21:27,05/Dec/13 19:05,
Bug,CXF-5287,12669198,NPE at org.apache.cxf.maven_plugin.ClassLoaderSwitcher.restoreClassLoader,dkulp,nickolay_martinov,Minor,Closed,Fixed,18/Sep/13 07:53,26/11/2013 17:40,
Improvement,CXF-5172,12661229,slf4j binds to slf4j-jdk14,,jkternes,Minor,Closed,Not A Problem,01/Aug/13 20:24,14/Aug/13 15:56,
Bug,CXF-4788,12629655,Spring initialization failure related with CXF 2.4.10 and upper,ffang,lecandas,Minor,Closed,Not A Problem,29/Jan/13 08:45,09/04/2013 15:19,
Bug,CXF-4487,12604913,cxf-codegen-plugin: Error resolving component warnings for imported types,dkulp,gertdriesen,Minor,Closed,Fixed,24/Aug/12 19:29,08/11/2012 17:14,
Bug,CXF-4329,12556685,Service using simple frontend with JAXB binding causes a ClassNotFoundException when started in Karaf,dkulp,zbeothy,Minor,Closed,Fixed,21/May/12 13:20,05/Jun/12 13:31,
Bug,CXF-4202,12548045,"Maven-codegin-plugin ignores option ""frontend"" if there is more than one wsdl file",ffang,duslompo,Minor,Closed,Not A Problem,25/03/2012 23:26,28/03/2012 03:46,
Bug,CXF-3513,12507119,[cxf-codegen-plugin][Generate WSDL->Java][illegal character],dkulp,sqliequerre,Minor,Closed,Cannot Reproduce,13/May/11 12:10,26/Oct/11 17:12,
Bug,CXF-3828,12524848,german umlauts not supported in path names,dkulp,dr.seltsam,Minor,Closed,Fixed,27/Sep/11 12:10,19/Oct/11 17:30,
Bug,CXF-3759,12519830,wadl2java fails with NullPointerException if status codes of multiple response elements are not in ascending numerical order,sergey_beryozkin,ojelinski,Minor,Closed,Fixed,23/Aug/11 14:30,19/Oct/11 17:30,
Improvement,CXF-3839,12525380,Refactoring to decrease code 'duplications' percentage to under 5 percent.,,gliesian,Minor,Closed,Not A Problem,30/Sep/11 23:40,06/Oct/11 03:12,
Improvement,CXF-3066,12477370,Add usage of FindBugs to coding standards / software quality process,,gliesian,Minor,Closed,Fixed,14/Oct/10 16:11,01/Sep/11 18:33,
Improvement,CXF-3276,12496420,"""Building Apache CXF HTTP Transport for OSGi 2.3.2"" - build warnings",,gliesian,Minor,Closed,Fixed,23/Jan/11 04:52,31/Aug/11 19:21,
Improvement,CXF-3086,12478105,"""Warning building bundle"" message in CXF 2.3 build",,gliesian,Minor,Closed,Fixed,22/Oct/10 19:19,31/Aug/11 19:21,
Bug,CXF-3202,12493525,Have XJC-Util work with both JAXB 2.1 and JAXB 2.2,dkulp,gmazza,Minor,Closed,Fixed,17/Dec/10 15:45,21/Jan/11 18:14,
Bug,CXF-2791,12463325,cxf-rt-transports-http-jetty pulling in slf4j-jdk14 dependency,,emersonf,Minor,Closed,Duplicate,29/04/2010 11:38,11/Oct/10 14:52,
Bug,CXF-2747,12460830,BeanCreationException wrapped as warning during cxf-codegen:wsdl2java,,reinis_v,Minor,Closed,Not A Problem,31/03/2010 15:51,01/04/2010 08:16,
Bug,CXF-2368,12431626,defaultOptions in cxf-codegen-plugin only works with wsdlRoot scanning,dkulp,jmcginn,Minor,Closed,Fixed,28/Jul/09 20:04,04/Dec/09 22:34,
Bug,CXF-1539,12394531,Maven cxf-codegen-plugin wrongly deleting generated files if package name specified.,,gmazza,Minor,Closed,Cannot Reproduce,22/04/2008 15:09,23/Jan/09 17:14,
Bug,CXF-1861,12406297,WSDLQueryHandler error,,olivlui,Minor,Closed,Won't Fix,13/Oct/08 12:16,23/Jan/09 17:14,
Bug,CXF-1457,12389839,cxf-codegen-plugin misinterprets relative paths in pom.xml,dkulp,jrw@pobox.com,Minor,Closed,Fixed,29/02/2008 00:33,07/Jul/08 16:45,
Bug,CXF-1582,12395763,Maven cxf-codegen-plugin:2.1 does not delete 'DONE' file,,camerono,Minor,Closed,Invalid,10/May/08 08:08,03/Jul/08 17:22,
Bug,CXF-1246,12383721,"""mvn generate-sources"" works with wsdl2java but not ""mvn groupid:artifactid:version:goal""",maomaode,mazzag,Minor,Closed,Fixed,01/Dec/07 20:20,30/04/2008 14:57,
Bug,CXF-1445,12389208,Missing repository definition,dkulp,sauthieg,Minor,Closed,Fixed,21/02/2008 12:54,30/04/2008 14:54,
Bug,CXF-916,12376198,Package renaming needed from org.codehaus.xfire -> org.apache.cxf?,njiang,mazzag,Minor,Closed,Fixed,16/Aug/07 20:53,05/Oct/07 16:46,
Bug,CXF-637,12368740,"cxf-codegen-plugin depends on JABX jaxb-impl Maven artifact, but lacks proper repository definiton",,seh,Minor,Closed,Invalid,06/May/07 18:51,29/Aug/07 18:09,
Bug,CXF-368,12360828,Logging level,dkulp,gawor@mcs.anl.gov,Minor,Closed,Fixed,18/Jan/07 23:00,29/Aug/07 02:05,
Improvement,CXF-7156,13023577,java2ws-plugin - add portName as configuration option,dkulp,sdutry,Trivial,Closed,Fixed,27/11/2016 13:05,22/03/2017 17:25,
Bug,CXF-3819,12524243,Problems with Maven pom's,njiang,igor.bljahhin,Trivial,Closed,Fixed,22/Sep/11 07:21,01/11/2011 02:11,
Bug,CXF-3138,12480454,Implement better error checking in AbstractXSDToJavaMojo for missing extension fields,dkulp,dkarr,Trivial,Closed,Fixed,19/11/2010 21:50,21/Jan/11 18:14,
Improvement,CXF-3079,12478009,Javadoc refinements are necesarry as exposed by the CXF build process (mvn -e),dkulp,gliesian,Trivial,Closed,Fixed,21/Oct/10 16:55,21/Jan/11 18:14,
